Year,Game,Margin,Net,Overall Rtg,Overall TV Vwrs,Overall Strm,Overall Spnsh,Overall OOH,Overall Rtg2,Overall  Vwrs2
1967,GB-KC,GB +25,CBS,22.6,26750000,—,—,—,n.a.,n.a.
1968,GB-OAK,GB +19,CBS,36.8,39120000,—,—,—,n.a.,n.a.
1969,NYJ-BAL (Colts),NYJ +9,NBC,36,41660000,—,—,—,n.a.,n.a.
1970,KC-MIN,KC +16,CBS,39.4,44270000,—,—,—,n.a.,n.a.
1971,BAL (Colts)-DAL,BAL +3,NBC,39.9,46040000,—,—,—,n.a.,n.a.
1972,DAL-MIA,DAL +21,CBS,44.2,56640000,—,—,—,n.a.,n.a.
1973,MIA-WSH,MIA +7,NBC,42.7,53320000,—,—,—,n.a.,n.a.
1974,MIA-MIN,MIA +17,CBS,41.6,51700000,—,—,—,n.a.,n.a.
1975,PIT-MIN,PIT +10,NBC,42.4,56050000,—,—,—,n.a.,n.a.
1976,PIT-DAL,PIT +4,CBS,42.3,57710000,—,—,—,n.a.,n.a.
1977,OAK-MIN,OAK +18,NBC,44.4,62050000,—,—,—,n.a.,n.a.
1978,DAL-DEN,DAL +17,CBS,47.2,78940000,—,—,—,n.a.,n.a.
1979,PIT-DAL,PIT +4,NBC,47.1,74740000,—,—,—,n.a.,n.a.
1980,PIT-LA Rams,PIT +12,CBS,46.3,76240000,—,—,—,n.a.,n.a.
1981,OAK-PHI,OAK +17,NBC,44.4,68290000,—,—,—,n.a.,n.a.
1982,SF-CIN,SF +5,CBS,49.1,85240000,—,—,—,n.a.,n.a.
1983,WSH-MIA,WSH +10,NBC,48.6,81770000,—,—,—,n.a.,n.a.
1984,LA Raiders-WSH,LA +29,CBS,46.4,77620000,—,—,—,n.a.,n.a.
1985,SF-MIA,SF +22,ABC,46.4,85530000,—,—,—,n.a.,n.a.
1986,CHI-NE,CHI +36,NBC,48.3,92570000,—,—,—,n.a.,n.a.
1987,NYG-DEN,NYG +19,CBS,45.8,87190000,—,—,—,n.a.,n.a.
1988,WSH-DEN,WSH +32,ABC,41.9,80140000,—,—,—,n.a.,n.a.
1989,SF-CIN,SF +4,NBC,43.5,81590000,—,—,—,n.a.,n.a.
1990,SF-DEN,SF +45,CBS,39,73850000,—,—,—,n.a.,n.a.
1991,NYG-BUF,NYG +1,ABC,41.9,79510000,—,—,—,n.a.,n.a.
1992,WSH-BUF,WSH +13,CBS,40.3,79590000,—,—,—,n.a.,n.a.
1993,DAL-BUF,DAL +35,NBC,45.1,90990000,—,—,—,n.a.,n.a.
1994,DAL-BUF,DAL +17,NBC,45.5,90000000,—,—,—,n.a.,n.a.
1995,SF-SD,SF +23,ABC,41.3,83420000,—,—,—,n.a.,n.a.
1996,DAL-PIT,DAL +10,NBC,46,94080000,—,—,—,41.2,n.a.
1997,GB-NE,GB +14,FOX,43.3,87870000,—,—,—,n.a.,n.a.
1998,DEN-GB,DEN +7,NBC,44.5,90000000,—,—,—,n.a.,n.a.
1999,DEN-ATL,DEN +15,FOX,40.2,83720000,—,—,—,36.4,n.a.
2000,STL-TEN,STL +7,ABC,43.3,88470000,—,—,—,37.9,n.a.
2001,BAL-NYG,BAL +27,CBS,40.4,84340000,—,—,—,35.8,n.a.
2002,NE-STL,NE +3,FOX,40.4,86800000,—,—,—,34.7,n.a.
2003,TB-OAK,TB +27,ABC,40.7,88640000,—,—,—,36.4,46.86M
2004,NE-CAR,NE +3,CBS,41.4,89800000,—,—,—,35.7,46.00M
2005,NE-PHI,NE +3,FOX,41.1,86070000,—,—,—,33.2,43.14M
2006,PIT-SEA,PIT +11,ABC,41.6,90750000,—,—,—,34.6,45.01M
2007,IND-CHI,IND +12,CBS,42.6,93180000,—,—,—,35.2,n.a.
2008,NYG-NE,NYG +3,FOX,43.1,97450000,—,—,—,37.5,49.19M
2009,PIT-ARIZ,PIT +4,NBC,42,98730000,—,—,—,36.7,48.45M
2010,NO-IND,NO +14,CBS,45,106480000,—,—,—,38.6,50.82M
2011,GB-PIT,GB +6,FOX,46,111010000,—,—,—,39.9,52.48M
2012,NYG-NE,NYG +4,NBC,47,111350000,346K,—,—,40.5,51.84M
2013,BAL-SF,BAL +3,CBS,46.4,108690000,508K,—,—,39.7,50.22M
2014,SEA-DEN,SEA +35,FOX,46.7,112190000,531K,561K,—,39.3,49.87M
2015,NE-SEA,NE +4,NBC,47.5,114440000,973K,368K,—,39.1,49.71M
2016,DEN-CAR,DEN +14,CBS,46.6,111860000,1.40M,472K,—,37.7,47.86M
2017,NE-ATL,NE +6 (OT),FOX,45.3,111320000,1.72M,650K,—,37.1,47.62M
2018,PHI-NE,PHI +8,NBC,43.1,103390000,2.02M,543K,12M,33.4,43.00M
2019,NE-LAR,NE +10,CBS,41.1,98190000,2.6M,473K,12M,31,39.95M
2020,KC-SF,KC +11,FOX,41.6,100450000,3.4M,757K,13M,29.9,38.67M
2021,TB-KC,TB +22,CBS,38.2,95200000,5.7M,647K,incl.,26.5,34.28M
2022,LAR-CIN,LAR +3,NBC,36.9,99180000,6.0M,1.9M,incl.,29.5,38.45M
2023,,,,,,,,,,
