RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,76ers,41,"838,092","20,441",100.6,41,"17,895",94,82,"19,168",98
2,Bulls,41,"823,475","20,084",96,41,"17,822",95,82,"18,953",95
3,Mavericks,41,"820,569","20,013",104.2,41,"18,073",96,82,"19,043",100
4,Raptors,41,"812,822","19,824",100.1,41,"18,239",96,82,"19,032",98
5,Heat,41,"805,264","19,640",100.2,41,"18,176",96,82,"18,908",98
6,Warriors,41,"803,436","19,596",108.5,41,"18,790",100,82,"19,193",104
7,Trail Blazers,41,"799,345","19,496",100.3,41,"17,992",96,82,"18,753",98
8,Cavaliers,41,"793,337","19,349",99.6,41,"17,632",93,82,"18,490",96
9,NY Knicks,41,"779,087","19,002",95.9,41,"17,566",93,82,"18,284",95
10,Lakers,41,"778,877","18,997",99.7,41,"18,862",100,82,"18,929",100
11,Celtics,41,"763,584","18,624",100,41,"18,671",98,82,"18,647",99
12,Nuggets,41,"756,457","18,450",94.5,41,"17,474",94,82,"17,962",94
13,Spurs,41,"750,616","18,307",98.5,41,"17,381",92,82,"17,844",95
14,Jazz,41,"750,546","18,306",100,41,"17,517",93,82,"17,911",96
15,Thunder,41,"746,323","18,203",100,41,"17,866",95,82,"18,034",97
16,Rockets,41,"740,392","18,058",100.1,41,"17,921",95,82,"17,989",98
17,Bucks,41,"721,692","17,602",101.5,41,"18,185",96,82,"17,893",99
18,Magic,41,"720,024","17,561",93.2,41,"17,659",92,82,"17,610",93
19,Wizards,41,"716,996","17,487",86.2,41,"17,509",92,82,"17,498",89
20,Clippers,41,"710,327","17,325",90.9,41,"17,233",92,82,"17,279",92
21,Kings,41,"700,975","17,096",97.7,41,"17,199",91,82,"17,148",94
22,Pacers,41,"689,310","16,812",92.6,41,"17,957",94,82,"17,377",93
23,Hornets,41,"676,570","16,501",86.5,41,"17,648",93,82,"17,074",90
24,Pistons,41,"675,963","16,486",78.5,41,"17,819",94,82,"17,153",86
25,Pelicans,41,"656,183","16,004",93.1,41,"17,667",93,82,"16,835",93
26,Grizzlies,41,"607,564","15,578",86,41,"17,579",93,82,"16,604",90
27,Hawks,41,"628,440","15,327",81.8,41,"17,786",94,82,"16,557",88
28,Timberwolves,41,"627,543","15,305",80.7,41,"17,641",94,82,"16,473",87
29,Suns,41,"627,023","15,293",83,41,"17,982",95,82,"16,638",89
30,Nets,41,"612,597","14,941",84.3,41,"18,085",95,82,"16,513",90
